,Station,precipitation
0,Baglung,1774.4
1,Bahrabise,2625.6
2,Baitadi..Gothalapani.,1269.0
3,Bajura..Martadi.,1874.8
4,Bandipur,1588.7
5,Bhairahawa.Airport,1576.8
6,Bhaktapur,1349.9
7,Bijuwar.Tar,1162.8
8,Biratnagar.Airport,1763.6
9,Birganj,1396.6
10,Chainpur..East.,1404.3
11,Chainpur.Bajhang.AWS,343.6
12,Changu.Narayan,1719.5
13,Chapakot,1842.5
14,Charikot,2027.1
15,Chatara,2154.1
16,Chaurjhari.Tar,1177.5
17,Chautara,1780.0
18,Chisapani.Karnali.,2205.5
19,Dadeldhura,1350.3
20,Dailekh,1694.3
21,Damak,2284.7
22,Daman,1329.2
23,Damauli,1693.4
24,Darchula.New,559.2
25,Dhangadhi.Attariya.,1851.3
26,Dhankuta,943.6
27,Dharan.Bazar,2098.3
28,Dhulikhel,1319.3
29,Dhunche,1619.8
30,Dhunibesi,1579.7
31,Diktel,1425.5
32,Dipayal..Doti.,1053.8
33,Dumkauli,2396.5
34,Dunai,332.4
35,Gaida..Kankai.,2556.6
36,Gaur,1043.1
37,Ghorai..Dang.,1580.4
38,Godavari,1609.8
39,Gorkha..Birenchowk.,1580.1
40,Gulariya,1232.6
41,Hardinath,373.9
42,Hetauda.N.F.I.,2304.7
43,Humde,69.5
44,Ilam.Tea.Estate,1382.9
45,Jajarkot,1667.6
46,Jalesor,969.6
47,Janakpur.Airport,1466.5
48,Jiri,2470.5
49,Jomsom,281.2
50,Jumla,803.0
51,Jumla.Airport,212.9
52,Kakani,2817.8
53,Kanyam.Tea.Estate,2634.9
54,Karmaiya,1831.8
55,Kathmandu.Airport,1502.1
56,Khadbari,846.3
57,Khairini.Tar,2195.1
58,Khajura..Nepalganj.,1189.4
59,Khanchikot,1686.6
60,Khokana,1267.4
61,Khudi.Bazar,3189.5
62,Khumaltar,1161.0
63,Kushma,2452.6
64,Lahan,1115.3
65,Lete,1418.7
66,Libang.Gaun,1525.8
67,Lumbini,1299.2
68,Lumle,5494.2
69,Mahendra.Nagar,1749.2
70,Mangalsen,1325.0
71,Manma,875.1
72,Manthali,837.0
73,Manusmara,1408.4
74,Musikot.Rukumkot.,2166.9
75,Nagarkot,1866.0
76,Nagma,800.8
77,Nepalgunj.Airport,1227.2
78,Nepalgunj.Reg.Off..,1314.8
79,Nuwakot,1626.4
80,Okhaldhunga,1741.6
81,Oli.Gaun..Patkani.,228.5
82,Pakhribas,1500.6
83,Panchkhal,1039.4
84,Parasi,1617.2
85,Parwanipur,1553.2
86,Patan.new,322.9
87,Phattepur,1786.2
88,Phidim..Panchther.,1251.5
89,Pokhara.Airport,3868.3
90,Pusma.Camp,1508.4
91,Rajbiraj,1461.6
92,Rampur,1936.6
93,Rara,603.9
94,Salleri,1626.2
95,Salyan.Bazar,975.7
96,Semari,1877.8
97,Simara.Airport,1807.3
98,Simikot,496.4
99,Sindhuli.Madhi,1977.5
100,Siraha,1348.1
101,Surkhet.Airport..Birendranagar.,1562.7
102,Syangja,2915.2
103,Tamghas,1834.2
104,Tansen,1338.0
105,Taplejung,1915.4
106,Tarahara,1921.4
107,Taulihawa,1306.6
108,Terhathum,897.8
109,Thakmarpha,396.5
110,Tikapur,1626.9
111,Udayapur.Gadhi,1574.6
